Business Name,Establishment District,Business Activity,Phone Number,Email Address
KIVU FOREX BUREAU Ltd,NYARUGENGE,Activities Of Bureaux de Change  (i.e Forex Bureaux)Etc.,788501839,kivuf@yahoo.fr
GREATEST FOREX BUREAU Ltd,NYARUGENGE,Activities Of Bureaux de Change  (i.e Forex Bureaux)Etc.,788658111,greatestforex76@gmail.com
QUICK SERVICE LTD,NYARUGENGE,Activities Of Bureaux de Change  (i.e Forex Bureaux)Etc.,788442573,quickserviceforexbureau@yahoo.fr
LA LUNE FOREX BUREAU LTD,NYARUGENGE,Activities Of Bureaux de Change  (i.e Forex Bureaux)Etc.,788499244,lalunefb@yahoo.fr
EAST AFRICAN FOREX BUREAU Ltd,NYARUGENGE,Activities Of Bureaux de Change  (i.e Forex Bureaux)Etc.,788864553,eastafricanforexbureau@gmail.com
IHURIRO FOREX BUREAU LTD,NYAGATARE,Activities Of Bureaux de Change  (i.e Forex Bureaux)Etc.,788623897,ihuriroforexbureaux@yahoo.fr
PRIME FOREX BUREAU Ltd,GASABO,Activities Of Bureaux de Change  (i.e Forex Bureaux)Etc.,788769004,primefr@yahoo.com
GIVE & TAKE FOREX BUREAU LTD,NYARUGENGE,Activities Of Bureaux de Change  (i.e Forex Bureaux)Etc.,788306236,givetakeforexbureau@yahoo.fr
UNIMONI BUREAU DE CHANGE Limited,NYARUGENGE,Activities Of Bureaux de Change  (i.e Forex Bureaux)Etc.,788377001,customer.care@rw.uaeexchange.com
REBERO CURRENCY EXCHANGE(REBEX) Ltd,GASABO,Activities Of Bureaux de Change  (i.e Forex Bureaux)Etc.,788500054,rebex020@hotmail.com
WELCOME FOREX BUREAU,NYARUGENGE,Activities Of Bureaux de Change  (i.e Forex Bureaux)Etc.,781650564,welcomefbureau@yahoo.fr
DOMUS LTD,KICUKIRO,Activities Of Customs Agents,788852428,info@domuslimited.com
PAN-AFRICAN LOGISTICS LTD,NYARUGENGE,Activities Of Customs Agents,788505496,crestc@yahoo.com &niwerosette@yahoo.fr
SCATEC SOLAR RWANDA Ltd,NYARUGENGE,Activities of electric power brokers or agents that arrange the sale of electricity via power distribution systems operated by others,725493021,andrzej.golebiowski@scatecsolar.com
ENERGICOTEL Ltd,GASABO,Activities of electric power brokers or agents that arrange the sale of electricity via power distribution systems operated by others,788389990,fturasenga@gmail.com
HORIZON GROUP Limited,GASABO,Activities Of Holding Companies,252581221,mbashajustin@gmail.com
CRYSTAL VENTURES Ltd,NYARUGENGE,Activities Of Holding Companies,505307,info@crystalventuresltd.com
ASCOMA RWANDA Ltd,GASABO,Activities Of Insurance Agents And Brokers (Insurance Intermediaries) In Selling  Negotiating Or Soliciting Of Annuities And Insurance And Reinsurance Policies,788301385,rwanda@ascoma.com
BIO MEDICAL CENTER  ltd,NYARUGENGE,Activities Of Medical Laboratories,788305005,alkara2000@yahoo.fr
DELOITTE RWANDA  LIMITED,GASABO,Advisory Activities And Representation On Behalf Of Clients Before Tax Authorities,788528932,ingabiredamour45@gmail.com
REMOTE PARTNERS  LTD,NYARUGENGE,Advisory Activities And Representation On Behalf Of Clients Before Tax Authorities,784523706,trevor@remotegroup.com
THE WOOD FOUNDATION AFRICA ,NYARUGENGE,Agricultural Activities On A Fee Or Contract Basis: preparation of fields  treatment of crops  crop spraying  including by air trimming of fruit trees and vines  harvesting transplanting of rice  thinning of beets  pest control (including rabbits) in connection with agriculture,782841722,
KENFREIGHT RWANDA Ltd,KICUKIRO,All Freight Transport Operations By Road (Haulage  Transport of Waste and Waste Materials Without Collection Or Disposal),788389959,kenfreight@kenfreight.co.rw
MUTAGANDA AND SONS LTD,KICUKIRO,All Freight Transport Operations By Road (Haulage  Transport of Waste and Waste Materials Without Collection Or Disposal),788301943,tbyaraye@yahoo.fr
TRANSAFRICAN CONTAINER TRANSPORT LTD,NYARUGENGE,All Freight Transport Operations By Road (Haulage  Transport of Waste and Waste Materials Without Collection Or Disposal),788301110,nicholas.kamau@gmail.com
PRESTIGE SERVICES COMPANY LTD,NYARUGENGE,All Freight Transport Operations By Road (Haulage  Transport of Waste and Waste Materials Without Collection Or Disposal),788596259,silofeli@yahoo.com
AFRICA DIRECT Ltd,NYARUGENGE,All Freight Transport Operations By Road (Haulage  Transport of Waste and Waste Materials Without Collection Or Disposal),728482061,info@africa-direct.net
KNT AND SONS ENERGY LIMITED,NYARUGENGE,All Freight Transport Operations By Road (Haulage  Transport of Waste and Waste Materials Without Collection Or Disposal),788300073,mvickoire@gmail.com
HEXAWARE LTD,NYARUGENGE,Application In Buildings Or Other Construction Projects Of Interior And Exterior Plaster Or Stucco  Including Related Lathing Materials,788748819,tihami.sadi@hotmail.com
URGENT & CAD INTERNATIONAL Ltd,NYARUGENGE,Architectural And Engineering Activities And Related Technical Consultancy,788305706,gissabd@yahoo.com
AFRICA DRILLING & EXPLORATION Ltd,GASABO,Architectural And Engineering Activities And Related Technical Consultancy,788309495,aderwanda@afridrillers.com
ENTREPRISE DE CONSTRUCTION ET DE SURVEILLANCE DES TRAVAUX PUBLICS (E.CO.SU.TRA.P)  LTD,NYARUGENGE,Architectural And Engineering Activities And Related Technical Consultancy,788304710,rutaganda64@gmail.com
SYNERGY PROPERTY DEVELOPMENT SERVICES P LTD,NYARUGENGE,Architectural Consulting Activities: building design and drafting and town and city planning and landscape architecture,788382154,synergy@synergyind.com
L & F CONSULTANT LTD,GASABO,Architectural Consulting Activities: building design and drafting and town and city planning and landscape architecture,788574012,angeprimo@gmail.com
HYCOGEC CONSULTANT Ltd,GASABO,Architectural Consulting Activities: building design and drafting and town and city planning and landscape architecture,788301068,hycogec@ymail.com
G.M.K.ARCHITECTURE LTD,GASABO,Architectural Consulting Activities: building design and drafting and town and city planning and landscape architecture,788300804,gmkkgl1@gmail.com
LANDMARK Ltd,GASABO,Architectural Consulting Activities: building design and drafting and town and city planning and landscape architecture,252580802,info@landmarch.com
FBW RWANDA LTD,GASABO,Architectural Consulting Activities: building design and drafting and town and city planning and landscape architecture,788315777,p.moores@fbwgroup.com
GALF TOLES LTD,KICUKIRO,Architectural Consulting Activities: building design and drafting and town and city planning and landscape architecture,788300882,callixtegatwandi@yahoo.fr
MASS DESIGN STUDIO LLC,GASABO,Architectural Consulting Activities: building design and drafting and town and city planning and landscape architecture,722111503,kigali@massdesigngroup.org
PRIMATE SAFARIS LTD,GASABO,Arranging And Assembling Tours That Are Sold Through Travel Agencies Or Directly By Tour Operators ,788300495,siborucyr@yahoo.fr
TERRA INCOGNITA ECOTOURS LTD,GASABO,Arranging And Assembling Tours That Are Sold Through Travel Agencies Or Directly By Tour Operators ,788385111,carIsnamz@gmail.com
GUARANTY TRUST BANK (RWANDA) PLC Ltd,NYARUGENGE,Banks,252598601,info@gtbank.com
ACCESS BANK (RWANDA) PLC ,NYARUGENGE,Banks,788145100,info.rwanda@accessbankplc.com
BANK OF AFRICA RWANDA PLC Limited,NYARUGENGE,Banks,787468010,info@boarwanda.com
UNGUKA BANK PLC ,NYARUGENGE,Banks,788313890,info@ungukabank.com
URWEGO BANK PLC ,GASABO,Banks,788173100,info@urwegobank.com
KCB BANK RWANDA PLC,NYARUGENGE,Banks,788514973,vkazarwa@rw.kcbbankgroup.com
EQUITY BANK RWANDA PLC ,NYARUGENGE,Banks,788190000,customerservice@equitybank.co.rw
NCBA BANK RWANDA PLC ,GASABO,Banks,788149500,contact@cbagroup.com
AB BANK RWANDA PLC ,NYARUGENGE,Banks,788528932,info@abbank.rw
MULTISECTOR INVESTMENT GROUP (MIG) Ltd,NYAMAGABE,Beekeeping And Production Of Honey And Beeswax,788671188,migltd2004@yahoo.fr
SPERANZA GROUP Ltd,GASABO,Blending Of Distilled Spirits,788301623,speranza963@gmail.com
KASESE DISTILLERS ,KICUKIRO,Blending Of Distilled Spirits,788483857,rutamanu67@gmail.com
AFRICANA BUFFALO Ltd,GASABO,Blending Of Distilled Spirits,780010584,buffalo@gmail.com
RWANDA MOUNTAIN TEA Ltd,NYARUGENGE,Blending Of Tea And Maté,228306240,info@rwandamountaintea.com
RUBAYA NYABIHU TEA COMPANY,NYARUGENGE,Blending Of Tea And Maté,788302000,rwanda-mountain-tea@rwanda1.com
RWANDA GAMING CORPORATION Ltd,KICUKIRO,Bookmaking And Other Betting Operations,785440726,rwandagaming@yahoo.com
PREMIER BETTING RWANDA LTD,NYARUGENGE,Bookmaking And Other Betting Operations,788388666,rayannasr@gmail.com
SPORTS GAMES RWANDA Ltd,NYARUGENGE,Bookmaking And Other Betting Operations,786156075,luckybets.rw@gmail.com
AFRICABET CO LTD,NYARUGENGE,Bookmaking And Other Betting Operations,789529069,africabet@live.co.uk
KINGS BET LTD,NYARUGENGE,Bookmaking And Other Betting Operations,786156075,alinaeem28@gmail.com
RADIO/TV 10 Ltd,GASABO,Broadcasting Audio Signals Through Radio Broadcasting Studios And Facilities For The Transmission Of Aural Programming To The Public To Affiliates Or To Subscribers,788301300,inforadio10@yahoo.fr
QATAR AIRWAYS(Q.C.S.C) ,NYARUGENGE,Brokerage For Ship And Aircraft Space,788308528,nelson.o.orgara@rw.pwc.com
TURKISH AILINES INC,NYARUGENGE,Brokerage For Ship And Aircraft Space,786480336,bnmutua@gmail.com
INTERNATIONAL TRAVEL & TRADING AGENCY(ITA) LTD,NYARUGENGE,Brokerage For Ship And Aircraft Space,788303598,kezanadia@hotmail.com
KENYA AIRWAYS LTD,NYARUGENGE,Brokerage For Ship And Aircraft Space,788316155,taxgroup@kenya-airways.com
SATGURU TRAVEL & TOURS SERVICES  LTD,NYARUGENGE,Brokerage For Ship And Aircraft Space,252577497,sttskgl@yahoo.com
ETHIOPIAN AIR LINES,NYARUGENGE,Brokerage For Ship And Aircraft Space,788562469,www.ethiopianairlines.com
CENTENARY HOUSE (CARITAS RWANDA) Ltd,NYARUGENGE,Buying  Selling  Renting And Operating Of Self Owned Or Leased Real Estate,252574295,info@caritasrwanda.org
DOYELCY LTD,NYARUGENGE,Buying  Selling  Renting And Operating Of Self Owned Or Leased Real Estate,788301766,sekoko@doyelcygroup.com
"KIGALI INVESTMENT COMPANY""KIC"" Ltd",NYARUGENGE,Buying  Selling  Renting And Operating Of Self Owned Or Leased Real Estate,788531833,hic_hic2020@yahoo.fr
KIGALI REAL ESTATE LTD,GASABO,Buying  Selling  Renting And Operating Of Self Owned Or Leased Real Estate,788304588,kigalirealestate@yahoo.fr
ULTIMATE CONCEPTS Ltd,GASABO,Buying  Selling  Renting And Operating Of Self Owned Or Leased Real Estate,788301811,info@ucl.rw
MARKET SHOPPING CENTER LTD,NYARUGENGE,Buying  Selling  Renting And Operating Of Self Owned Or Leased Real Estate,788301372,management@mpeaceplaza.com
KIGALI HEIGHTS DEVELOPMENT COMPANY LTD,GASABO,Buying  Selling  Renting And Operating Of Self Owned Or Leased Real Estate,788301244,karerad@yahoo.com
"CHAMPIONS INVESTMENT CORPORATION ""CHIC"" Ltd",GASABO,Buying  Selling  Renting And Operating Of Self Owned Or Leased Real Estate,788303651,camaradeo@gmail.com
ULTIMATE DEVELOPERS Ltd,NYARUGENGE,Buying  Selling  Renting And Operating Of Self Owned Or Leased Real Estate,788849399,info@udl.rw
THE DOWNTOWN LIMITED,NYARUGENGE,Buying  Selling  Renting And Operating Of Self Owned Or Leased Real Estate,788651212,v.one1@yahoo.com
COMMUNAUTE DES EGLISES BETHEL AU RWANDA/AMAZU,GASABO,Buying  Selling  Renting And Operating Of Self Owned Or Leased Real Estate,788355952,alnzitchrist@yahoo.fr
CENTURY REAL  ESTATE Ltd,GASABO,Buying  Selling  Renting And Operating Of Self Owned Or Leased Real Estate,788596357,info@centuryrwanda.com
ACACIA PROPERTY DEVELOPERS LTD,NYARUGENGE,Buying  Selling  Renting And Operating Of Self Owned Or Leased Real Estate,788304588,bafarobert4@gmail.com / kigaliestate@yahoo.fr
CAMELLIA TEA HOUSE LTD,NYARUGENGE,Cafeterias,788309808,csmelliatea@yahoo.com
CHILLINGTON RWANDA  LTD,KICUKIRO,Casting Of Iron And Steel,788302474,inf.chillington@gmail.com
COFATOLE Ltd,GASABO,Casting Of Semifinished Iron Products,788539781,espera4543@yahoo.fr
GASABO 3D DESIGN Ltd,GASABO,Certification Of Products  Including Consumer Goods  Motor Vehicles  Aircraft  Pressurized Containers  Nuclear Plants Etc.,788304889,jihirwe@gasabo3d.rw
SHER CONSULT Ltd,NYARUGENGE,Certification Of Products  Including Consumer Goods  Motor Vehicles  Aircraft  Pressurized Containers  Nuclear Plants Etc.,781523232,twahirwa@sher.be
WATER FOR PEOPLE,KICUKIRO,Charitable Activities Like Fundraising Or Other Supporting Activities Aimed At Social Work,788304675,rwanda@waterforpeople.org
ABT ASSOCIATES INC.,GASABO,Charitable Activities Like Fundraising Or Other Supporting Activities Aimed At Social Work,788389099,jean-pierre_rucakibungo@africairs.net
BOURBON COFFEE Limited,GASABO,Coffee Shops,788125060,info@bourboncoffee.co.rw
COPED Ltd,NYARUGENGE,Collection Of Nonhazardous Solid Waste (I.E. Garbage) Within A Local Area  Such As Collection Of Waste From Households And Businesses By Means Of Refuse Bins  Wheeled Bins  Containers Etc May Include Mixed Recoverable Materials,788301975,info@copedgroup.com
"WATER AND SANITATION CORPORATION "" WASAC"" LTD",NYARUGENGE,Collection Of Water From Rivers  Lakes  Wells Etc.,788181427,wasac@wasac.rw
CREATIVE COMMUNICATIONS LTD,GASABO,Conducting Marketing Campaigns And Other Advertising Services Aimed At Attracting And Retaining Customers:,788312556,muco@creative.co.rw
EXP THE DEMAND ACTIVATION AGENCY  LTD,GASABO,Conducting Marketing Campaigns And Other Advertising Services Aimed At Attracting And Retaining Customers:,738663436,yves.nsengimana@gmail.com
SCANAD RWANDA LTD,NYARUGENGE,Conducting Marketing Campaigns And Other Advertising Services Aimed At Attracting And Retaining Customers:,737362200,info@scanad.com
"MOTA-ENGIL, ENGENHARIA E CONSTRUÇÃO ÁFRICA SA ",GASABO,Construction Of Airfield Runways,781446028,paulo.gois@mota-engil.rw
ROKO CONSTRUCTION (RWANDA) Ltd,KICUKIRO,Construction Of All Types Of Nonresidential Buildings: buildings for industrial production  e.g. factories  workshops  assembly plants etc.  hospitals  schools  office buildings  hotels  stores  shopping malls  restaurants  airport buildings  indoor sports facilities parking garages  including underground parking garages warehouses  religious buildings,788307002,commercialrw@roko.com
CHINA CIVIL ENGINEERING CONSTRUCTION CORPORATION Ltd,GASABO,Construction Of All Types Of Nonresidential Buildings: buildings for industrial production  e.g. factories  workshops  assembly plants etc.  hospitals  schools  office buildings  hotels  stores  shopping malls  restaurants  airport buildings  indoor sports facilities parking garages  including underground parking garages warehouses  religious buildings,788301062,ccecc.rwanda@gmail.com
SEYANI BROTHERS & CO (R) Ltd,GASABO,Construction Of All Types Of Nonresidential Buildings: buildings for industrial production  e.g. factories  workshops  assembly plants etc.  hospitals  schools  office buildings  hotels  stores  shopping malls  restaurants  airport buildings  indoor sports facilities parking garages  including underground parking garages warehouses  religious buildings,788622700,sbcr@seyani.com
CHINA JIANGXI CORPORATION FOR INTERNATIONAL ECONOMIC AND TECHNICAL COOPERATION RWANDA LIMITED,GASABO,Construction Of All Types Of Nonresidential Buildings: buildings for industrial production  e.g. factories  workshops  assembly plants etc.  hospitals  schools  office buildings  hotels  stores  shopping malls  restaurants  airport buildings  indoor sports facilities parking garages  including underground parking garages warehouses  religious buildings,787304516,cjicrrwanda@gmail.com
CHINA STAR CONSTRUCTION (RWANDA) CO Ltd,GASABO,Construction Of All Types Of Nonresidential Buildings: buildings for industrial production  e.g. factories  workshops  assembly plants etc.  hospitals  schools  office buildings  hotels  stores  shopping malls  restaurants  airport buildings  indoor sports facilities parking garages  including underground parking garages warehouses  religious buildings,788382629,chinastar18@163.com
TOP INTERNATIONAL  ENGINEERING CORPORATION Ltd,GASABO,Construction Of All Types Of Nonresidential Buildings: buildings for industrial production  e.g. factories  workshops  assembly plants etc.  hospitals  schools  office buildings  hotels  stores  shopping malls  restaurants  airport buildings  indoor sports facilities parking garages  including underground parking garages warehouses  religious buildings,783118498,top-rwa@tiec.net.cn
VEKSONS RWANDA Ltd,NYARUGENGE,Construction Of All Types Of Nonresidential Buildings: buildings for industrial production  e.g. factories  workshops  assembly plants etc.  hospitals  schools  office buildings  hotels  stores  shopping malls  restaurants  airport buildings  indoor sports facilities parking garages  including underground parking garages warehouses  religious buildings,787178175,veksonsrwanda@gmail.com
SOGECCO LTD,GASABO,Construction Of All Types Of Nonresidential Buildings: buildings for industrial production  e.g. factories  workshops  assembly plants etc.  hospitals  schools  office buildings  hotels  stores  shopping malls  restaurants  airport buildings  indoor sports facilities parking garages  including underground parking garages warehouses  religious buildings,788305424,sogeccosa2005@yahoo.fr
"ARCHITECTURE DU BATIMENT CONSTRUCTION ET DEVELOPMENT ""ABCD"" LTD",NYARUGENGE,Construction Of All Types Of Nonresidential Buildings: buildings for industrial production  e.g. factories  workshops  assembly plants etc.  hospitals  schools  office buildings  hotels  stores  shopping malls  restaurants  airport buildings  indoor sports facilities parking garages  including underground parking garages warehouses  religious buildings,788300416,abcdltd1@gmail.com
CHINA GEO-ENGINEERING CORPORATION,KICUKIRO,Construction Of All Types Of Nonresidential Buildings: buildings for industrial production  e.g. factories  workshops  assembly plants etc.  hospitals  schools  office buildings  hotels  stores  shopping malls  restaurants  airport buildings  indoor sports facilities parking garages  including underground parking garages warehouses  religious buildings,788874218,cgcrwanda@hotmail.com
BETA CONSTRUCTION Ltd,NYARUGENGE,Construction Of All Types Of Nonresidential Buildings: buildings for industrial production  e.g. factories  workshops  assembly plants etc.  hospitals  schools  office buildings  hotels  stores  shopping malls  restaurants  airport buildings  indoor sports facilities parking garages  including underground parking garages warehouses  religious buildings,788303350,betaconstruction2006@yahoo.fr
"ENTREPRISE DE CONSTRUCTION DES TRAVAUX PUBLICS ET D'AMENAGEMENT ""ECOTRA"" Ltd",NYARUGENGE,Construction Of All Types Of Nonresidential Buildings: buildings for industrial production  e.g. factories  workshops  assembly plants etc.  hospitals  schools  office buildings  hotels  stores  shopping malls  restaurants  airport buildings  indoor sports facilities parking garages  including underground parking garages warehouses  religious buildings,788536840,ecotrae@yahoo.fr
STRONG CONSTRUCTIONS  LTD,NYARUGENGE,Construction Of All Types Of Nonresidential Buildings: buildings for industrial production  e.g. factories  workshops  assembly plants etc.  hospitals  schools  office buildings  hotels  stores  shopping malls  restaurants  airport buildings  indoor sports facilities parking garages  including underground parking garages warehouses  religious buildings,788307079,strongconstructions@yahoo.fr
DELTA TWO CONSTRUCTION LTD,GASABO,Construction Of All Types Of Nonresidential Buildings: buildings for industrial production  e.g. factories  workshops  assembly plants etc.  hospitals  schools  office buildings  hotels  stores  shopping malls  restaurants  airport buildings  indoor sports facilities parking garages  including underground parking garages warehouses  religious buildings,788304232,delta.two_cons@yahoo.fr
SMART ENTERPRISE GENERAL CONSTRUCTION (SEGECO) LTD,GASABO,Construction Of All Types Of Nonresidential Buildings: buildings for industrial production  e.g. factories  workshops  assembly plants etc.  hospitals  schools  office buildings  hotels  stores  shopping malls  restaurants  airport buildings  indoor sports facilities parking garages  including underground parking garages warehouses  religious buildings,788503158,mujajoze@yahoo.fr
ECOMEM CO. Ltd,NYARUGENGE,Construction Of All Types Of Nonresidential Buildings: buildings for industrial production  e.g. factories  workshops  assembly plants etc.  hospitals  schools  office buildings  hotels  stores  shopping malls  restaurants  airport buildings  indoor sports facilities parking garages  including underground parking garages warehouses  religious buildings,788743023,byumvuhorefabien69@gmail.com
STRONG INFRASTRUCTURE & SERVICES COMPANY LTD,GASABO,Construction Of All Types Of Nonresidential Buildings: buildings for industrial production  e.g. factories  workshops  assembly plants etc.  hospitals  schools  office buildings  hotels  stores  shopping malls  restaurants  airport buildings  indoor sports facilities parking garages  including underground parking garages warehouses  religious buildings,788307279,niyomicheal@yahoo.fr
"GENUINE COMPANY ""GECO"" LTD",NYARUGENGE,Construction Of All Types Of Nonresidential Buildings: buildings for industrial production  e.g. factories  workshops  assembly plants etc.  hospitals  schools  office buildings  hotels  stores  shopping malls  restaurants  airport buildings  indoor sports facilities parking garages  including underground parking garages warehouses  religious buildings,788303442,genuinecoltd@gmail.com
GECOTRA COMPANY LTD,NYARUGENGE,Construction Of All Types Of Nonresidential Buildings: buildings for industrial production  e.g. factories  workshops  assembly plants etc.  hospitals  schools  office buildings  hotels  stores  shopping malls  restaurants  airport buildings  indoor sports facilities parking garages  including underground parking garages warehouses  religious buildings,788307676,etiennegabo@yahoo.fr
NDOVU BUILDERS AND GENERL CONTRACTORS LTD,NYARUGENGE,Construction Of All Types Of Nonresidential Buildings: buildings for industrial production  e.g. factories  workshops  assembly plants etc.  hospitals  schools  office buildings  hotels  stores  shopping malls  restaurants  airport buildings  indoor sports facilities parking garages  including underground parking garages warehouses  religious buildings,783324122,petergithua@yahoo.com
BRIGHT FUTURE CONSTRUCTION COMPANY Ltd,RUBAVU,Construction Of All Types Of Nonresidential Buildings: buildings for industrial production  e.g. factories  workshops  assembly plants etc.  hospitals  schools  office buildings  hotels  stores  shopping malls  restaurants  airport buildings  indoor sports facilities parking garages  including underground parking garages warehouses  religious buildings,788346515,bfccltd73@gmail.com
GENERAL ENGINEERING SERVICES COMPANY LTD,GASABO,Construction Of All Types Of Nonresidential Buildings: buildings for industrial production  e.g. factories  workshops  assembly plants etc.  hospitals  schools  office buildings  hotels  stores  shopping malls  restaurants  airport buildings  indoor sports facilities parking garages  including underground parking garages warehouses  religious buildings,788566135,gescolimited@gmail.com
DUO CORPORATION LTD,GASABO,Construction Of All Types Of Nonresidential Buildings: buildings for industrial production  e.g. factories  workshops  assembly plants etc.  hospitals  schools  office buildings  hotels  stores  shopping malls  restaurants  airport buildings  indoor sports facilities parking garages  including underground parking garages warehouses  religious buildings,788309546,info@duocorporwanda.com
DONGIL CONSTRUCTION CO. Ltd,NYARUGENGE,Construction Of All Types Of Nonresidential Buildings: buildings for industrial production  e.g. factories  workshops  assembly plants etc.  hospitals  schools  office buildings  hotels  stores  shopping malls  restaurants  airport buildings  indoor sports facilities parking garages  including underground parking garages warehouses  religious buildings,783686255,Dingil_Rwanda@dongilcons.com
E.M.P LTD,GASABO,Construction Of All Types Of Nonresidential Buildings: buildings for industrial production  e.g. factories  workshops  assembly plants etc.  hospitals  schools  office buildings  hotels  stores  shopping malls  restaurants  airport buildings  indoor sports facilities parking garages  including underground parking garages warehouses  religious buildings,788300211,paulmub@yahoo.fr
SERVICES TECHNIQUES DU BATIMENT(S.T.B.) LTD,KICUKIRO,Construction Of All Types Of Nonresidential Buildings: buildings for industrial production  e.g. factories  workshops  assembly plants etc.  hospitals  schools  office buildings  hotels  stores  shopping malls  restaurants  airport buildings  indoor sports facilities parking garages  including underground parking garages warehouses  religious buildings,788492510,abubagil@yahoo.fr
FAIR CONSTRUCTION SARL & CIVIL CONTRACTORS LTD,GASABO,Construction Of All Types Of Nonresidential Buildings: buildings for industrial production  e.g. factories  workshops  assembly plants etc.  hospitals  schools  office buildings  hotels  stores  shopping malls  restaurants  airport buildings  indoor sports facilities parking garages  including underground parking garages warehouses  religious buildings,788309200,fair@fairconstructionrw.com
MUHIMA INVESTMENT COMPANY Ltd,NYARUGENGE,Construction Of All Types Of Residential Buildings: single-family houses  multi-family buildings  including high-rise buildings,788502291,micltd12@gmail.com
STRAWTEC BUILDING SOLUTIONS Ltd,GASABO,Construction Of All Types Of Residential Buildings: single-family houses  multi-family buildings  including high-rise buildings,788305841,info@strawtec.com
HUNAN ROAD & BRIDGE CONSTRUCTION GROUP COMPANY LIMITED,KICUKIRO,Construction Of All Types Of Residential Buildings: single-family houses  multi-family buildings  including high-rise buildings,788313766,kigalihnrb@gmail.com
LE GEOMETRE TOPOGRAPHE CONSULTANT - GTC,NYARUGENGE,Construction Of All Types Of Residential Buildings: single-family houses  multi-family buildings  including high-rise buildings,788302170,gtcont@yahoo.fr
RIHOCO BUILDERS CIVIL & CONTRACTORS,GASABO,Construction Of All Types Of Residential Buildings: single-family houses  multi-family buildings  including high-rise buildings,788304815,rihoco2007@yahoo.co.uk
G.M SUPPLY LTD,NYARUGENGE,Construction Of All Types Of Residential Buildings: single-family houses  multi-family buildings  including high-rise buildings,788322372,bagambiki@gmail.com
UJENGE RWANDA LTD,GASABO,Construction Of All Types Of Residential Buildings: single-family houses  multi-family buildings  including high-rise buildings,788300484,sebatigita@ujenge.com
ELOHIM COMPANY LTD,GASABO,Construction Of All Types Of Residential Buildings: single-family houses  multi-family buildings  including high-rise buildings,788471203,umucyobussiness@yahoo.fr
GENESIS AND GILGAL GROUP LTD,GASABO,Construction Of All Types Of Residential Buildings: single-family houses  multi-family buildings  including high-rise buildings,788304195,james.ngarambekccosc@yahoo.com
LOYAL TRUST COMPANY Ltd,NYARUGENGE,Construction Of All Types Of Residential Buildings: single-family houses  multi-family buildings  including high-rise buildings,788566526,rugemapatrick73@gmail.com
CENTURY ENGINEERING CONTRACTORS LTD,GASABO,Construction Of All Types Of Residential Buildings: single-family houses  multi-family buildings  including high-rise buildings,788389990,rmutangana@epcafrica.com
