,2000,,,,,,,,,,,,2001,,,,,,,,,,,,2002,,,,,,,,,,,,2003,,,,,,,,,,,,2004,,,,,,,,,,,,2005,,,,,,,,,,,,2006,,,,,,,,,,,,2007,,,,,,,,,,,,2008,,,,,,,,,,,,2009,,,,,,,,,,,,2010,,,,,,,,,,,,2011,,,,,,,,,,,,2012,,,,,,,,,,,,2013,,,,,,,,,,,,2014,,,,,,,,,,,
Muhanga,NA,NA,NA,NA,131.4451902,119.2289253,106.2949516,102.5429297,98.70907573,100.8701714,122.8522837,133.1105774,122.1517208,126.9928916,124.9043788,134.269766,138.2831819,130.0583372,118.8787251,115.5397591,113.4369773,120.6095343,134.3928916,131.9682561,133.5541328,123.823314,124.9290556,133.047068,138.5066625,128.2770212,115.5775777,106.3107268,105.1510273,106.512296,117.363263,131.7267727,125.7402162,128.4096484,125.5642469,133.3646475,137.8842992,132.7818995,112.1705248,105.044515,112.6237871,117.3117985,128.1356051,121.2702461,129.8810515,128.6288729,120.9935966,134.2045773,135.755571,123.0793619,106.650494,100.9256297,104.4270334,119.3487658,126.3264821,121.1807538,116.5222975,124.8907136,131.2692287,137.9467796,137.053676,126.6589554,113.0848553,108.5365767,111.3986333,122.9075269,124.4440782,123.1964999,111.6418482,111.4793675,111.8911028,127.866078,133.9372697,124.7623381,112.7870691,109.5411352,107.5498652,106.5292914,119.5988878,127.5114661,125.7096315,123.1518106,126.2539182,129.6240053,136.8648135,131.4957145,122.2493524,118.7387662,111.0719935,117.9431465,124.9141903,121.1683948,121.5110747,115.7287895,127.3464412,139.6616637,139.5321085,125.9624186,120.4163709,108.8310147,107.3490213,110.005981,116.5582777,120.4663277,123.1204845,131.6509386,127.0848483,134.0006622,137.4762187,124.5954495,116.2961533,107.1269902,103.0265114,110.5294727,122.2000645,124.1958411,118.4640416,116.6465408,127.0970751,137.7507503,126.2245744,130.329117,116.2878896,102.5395606,106.7950345,110.6939985,120.4284142,118.1045049,118.9196784,115.8922512,123.8541304,119.8944316,116.5685624,122.7587445,115.8642813,110.0541635,110.7694322,115.5308166,124.6523979,128.8860846,122.5151121,107.1473302,110.5254666,126.0062618,127.7045981,130.7342394,115.3551553,106.1857032,106.6544084,107.5342395,112.3394429,125.0239991,124.5270797,124.1232557,119.2989291,108.7545325,123.6983071,120.3994227,108.5413675,99.97419046,99.79296036,113.693031,115.41496,121.4053172,115.2999919,111.4839588,115.4357637,130.9387143,120.316605,121.6988202,113.0757038,107.0083316,117.0084772,115.5564018,126.5439349,125.5725668
Kamonyi,NA,NA,NA,NA,135.7129327,120.5518079,103.4442925,98.89178738,91.93837703,96.60283007,126.3262257,143.4926502,126.0133507,133.0525589,132.1441011,144.183031,148.6350775,137.3118945,117.5715244,120.6771269,122.5818984,126.4398056,141.0870416,138.8971976,132.5009273,133.4809142,133.464796,144.2195218,144.1799499,131.0728931,113.5062973,106.7061838,104.2948661,104.0684871,121.8586883,142.5427672,132.4785938,126.5650026,122.4617453,130.8364454,144.7994439,133.5718159,109.3921372,101.5449137,113.2330362,118.1256158,134.9480897,129.044355,123.8004872,126.24541,123.1824971,140.9717685,143.5558863,120.8730278,103.2180935,98.13063653,102.7795676,115.9667769,133.2913263,125.242891,121.4748527,124.9723874,130.0026451,144.835412,143.8567021,129.9569642,109.907947,105.0090508,112.7146091,122.1182964,131.1121746,121.4898486,107.6757572,106.891619,111.7296349,139.0268082,144.7137342,123.4119219,108.1488805,104.5372034,102.3946812,100.5576579,123.0404175,137.5948756,129.0755958,121.7698128,126.126976,129.872693,143.2181274,136.221478,123.846468,120.3220398,112.9173453,116.7029608,128.2532347,126.0842333,118.0739875,114.4851838,122.5476182,144.3563987,143.9487066,124.4339045,113.7958269,104.0077398,101.0766021,103.0021259,123.2840214,127.7209133,120.7924235,127.3289614,126.2065919,138.2649355,140.398102,128.1911702,113.7449176,108.2400573,101.2847897,113.9971934,128.0714123,124.2058047,118.8475554,114.428474,128.6631025,145.0405079,134.1340363,128.9181802,112.0187523,100.4771481,101.4187428,109.156063,122.0041308,119.8080367,119.6466106,114.1368092,127.1704863,138.3675444,134.2808835,127.2588175,116.7142443,108.1482472,109.1737532,118.8135905,130.8147885,133.4448699,123.1334778,105.5064126,115.1744381,129.3061968,138.8046116,127.6858079,112.725207,104.2076016,104.7260707,105.9703469,121.9019668,132.8186597,123.3923464,122.3468435,122.7075314,122.2313647,128.7546968,118.9156759,104.6832054,95.94614762,99.10536095,113.582511,120.9264275,123.7241064,115.0822815,111.7156095,118.9817606,139.388926,129.1558639,118.9217837,106.1476587,103.465681,118.9647241,119.4571053,133.9997577,122.706154
Karongi,NA,NA,NA,NA,131.6895246,123.6712997,105.2402698,97.29595565,96.15664297,100.4341411,120.5294792,131.5669305,127.1095391,121.6110193,125.5726613,135.0963337,141.0248309,132.7915674,118.6506606,112.0034876,109.3226188,117.7510672,138.466763,134.1843885,134.9693826,133.0577131,131.2591317,140.4442385,137.5378821,128.9998667,116.2443343,105.6310267,100.5222519,106.1967156,125.2143832,136.7185122,126.639354,133.8671679,132.7884217,139.7280901,142.1783478,134.5990062,115.1195785,104.8297811,109.9450377,122.6131481,131.6479083,130.2333699,133.8878536,128.6355448,123.4873862,136.4002333,138.9715553,124.6806572,107.2730736,101.5076656,103.0273215,114.3457044,130.1643885,130.2206592,121.6247123,130.5686791,139.2163228,137.8192699,140.0290441,130.7036647,115.4579828,105.6463389,105.0020143,117.9210844,125.0718736,130.8080723,123.2720549,119.8155531,117.4484447,131.468839,133.0391805,126.0056004,114.4371995,111.4753834,109.6045933,111.4359384,125.8586324,127.7864517,122.9892844,132.4430866,128.8273458,132.8517115,138.0305098,132.3567106,127.6015384,118.6623562,115.3630686,126.8125178,128.6985321,128.0719228,125.9932219,122.3653722,134.5064653,135.4843173,135.5978395,127.3328134,119.8895396,108.5240077,110.2049885,117.4567239,124.4580941,126.3561084,126.1813852,137.5784779,133.7237939,136.5891645,138.7627918,127.9203665,116.8370458,105.1219004,101.5963451,113.8960912,124.3600591,129.6886886,124.8434112,131.8310317,138.5462102,142.7205623,130.5873661,133.6021619,116.6840346,104.4284056,107.5410948,114.7360248,125.9632713,126.4640607,121.8813103,122.074191,131.7256431,132.0970609,126.0857621,125.1652422,116.4940408,106.1211007,112.1342454,113.8275856,128.3974386,131.0363893,126.3639101,116.0256124,118.3246213,125.3207228,134.6734134,132.6231098,118.2500179,109.7169508,106.6021784,112.6800127,116.0637014,126.6298781,125.0295487,127.295849,129.4852525,123.7464975,130.4189017,126.0647328,111.3167034,99.2158733,98.09497825,109.8102019,116.8485364,124.4119659,116.5869872,118.4163318,125.0668941,130.3991757,121.472667,124.2760906,111.9837677,102.2730672,113.4648327,112.9771981,127.6142624,125.7487662
Rutsiro,NA,NA,NA,NA,137.9389093,130.0757937,115.1036828,109.9238624,105.4958113,109.1777333,131.3505563,136.989893,134.5001184,130.6121254,133.5001831,144.7127335,143.2433914,136.1989859,121.8145202,117.8645635,123.8036005,126.6168549,143.5964328,139.6222314,143.6909156,135.4967895,135.8829416,139.4961647,141.9288452,132.3498586,121.1973292,111.583739,107.5370305,109.2899512,126.4365878,138.8431768,135.4554509,147.172158,143.1379051,138.8266199,146.9131678,136.6380463,119.5291106,112.3672264,120.4370645,128.3578703,136.8882659,137.1198638,142.687719,135.5143742,133.2072742,142.5573629,142.5733958,130.0436399,113.0812882,104.9249912,111.6008454,123.7386372,137.3843778,134.9408307,130.7094966,141.4881903,144.1676776,145.6734223,144.2048341,134.8746638,119.4078843,109.7298644,112.794112,128.0637184,131.6132296,137.0768561,137.3361136,130.9482554,129.5387429,139.9487753,140.7093599,133.505304,120.9708643,117.9444751,122.5141488,122.0437544,126.8921488,132.2863145,131.7184371,139.7805519,134.6461117,135.8256588,144.5798457,139.215581,129.8882509,124.8243794,121.8435031,130.2097417,133.3329688,132.8854665,132.7725818,131.759692,139.3092703,137.4154083,137.6122364,133.5564365,125.8501023,121.254783,117.2825174,123.2925113,133.8759124,133.36032,137.0044417,137.7335996,135.9023391,137.7712968,141.7949576,131.4721006,120.0464575,109.5274693,107.4320316,115.7702207,125.7343811,130.93965,128.5446403,137.1633606,139.6927011,143.5186946,130.7697345,135.4486103,119.2453154,107.4086274,113.9890006,117.3169852,132.8008231,132.2022598,125.5489721,126.6601428,133.7217375,129.8107218,128.7830512,128.7163297,120.2223447,111.8300663,112.7636632,119.7757211,126.0525164,128.6203838,131.2276723,113.0018478,118.0127954,125.5889071,128.6760451,132.4935551,122.4946589,111.4873526,113.0109834,119.5729979,120.1886733,128.0938016,128.2091413,129.3629645,133.9880791,122.1162963,131.258222,130.7836211,114.1148006,103.1807331,103.636881,115.4711641,126.7249465,129.8599849,116.6512602,120.2110367,122.473987,127.3769756,125.6132562,126.6428207,117.3095615,103.2747997,116.4673209,118.1192106,123.3684157,126.7553409
Rubavu,NA,NA,NA,NA,139.308084,134.0882907,116.5083936,101.4916504,102.773708,111.3362253,148.5520052,152.243736,140.9109926,132.25383,128.0065727,142.1631539,149.2097346,137.3171517,124.5615317,126.7895287,124.6008256,127.6414965,145.9918249,144.7648381,146.2502535,135.7676937,130.9363792,134.2265118,140.7003223,134.1720776,119.7987041,109.1255908,106.8427544,117.1275238,147.0105295,151.5187927,139.7582097,146.3205189,142.4611186,141.2307939,150.5356203,143.0438771,127.194769,114.687745,122.5237226,134.8623604,149.0188135,149.0945538,150.4958563,135.7497373,128.6179187,140.4482929,144.6197899,139.2835756,112.02814,102.632631,108.2456045,134.5984647,150.4395119,145.406133,134.1605123,133.5891467,134.3840094,138.0999961,144.0723928,142.3785602,119.7516025,109.1090814,111.8892119,139.933869,143.1944602,139.5598415,133.6585427,130.9706811,129.0111145,136.5512874,141.7260714,131.5921411,121.1470419,117.2609188,123.1079449,129.7244745,137.8322453,141.7174975,135.3716738,135.1769587,125.658307,125.0520468,146.3850816,142.6577268,130.9924561,127.415557,117.1446056,129.2070335,142.3845574,142.5288788,135.2995369,126.580728,128.3412577,130.1112343,130.1121607,133.9785373,125.1837753,116.881723,121.1833919,128.6878339,141.1095019,135.2985986,127.1189812,122.4077576,123.6132843,135.313873,140.8352579,130.8417202,116.2911574,104.5384318,101.8904531,123.3831296,134.0368602,138.0567965,128.329757,126.3084332,127.154972,142.5699451,130.8831689,133.8851422,115.5954498,97.74236162,104.3756876,121.0193465,146.0624708,135.1322587,121.0724674,123.1282833,128.4911424,116.6075459,127.0437158,127.2836445,119.2037777,107.7531666,106.0133504,120.3265827,137.6511184,127.8837283,128.9673495,106.5222056,112.0593938,124.4654534,131.4646462,132.7076346,121.0441317,109.2575666,110.9933521,122.5633279,122.4128596,125.7261813,125.9085806,116.9708463,119.5745302,111.7241823,129.0092502,125.9612209,108.6561565,99.03052655,101.8011733,122.2624562,133.3142137,127.8363082,115.326809,114.3692281,116.2270553,122.8096147,132.1280755,123.3999562,108.2925982,99.10438674,113.9428902,127.3099534,130.4152418,126.5204108
Nyabihu,NA,NA,NA,NA,137.2724739,132.6272495,116.6666193,107.9330261,109.1671381,113.8382489,137.9240531,144.3547649,130.8328955,132.6790763,132.8032506,137.6853859,138.2142424,130.1224134,120.9091997,120.0666835,126.9235617,129.1749559,145.0036154,141.0659467,142.216212,133.014039,131.4319101,134.3891985,139.1476656,127.5827436,117.7139128,110.6556668,112.9417941,123.0009114,132.5206105,142.5901424,135.8233199,141.4882184,139.6900386,140.6299272,144.259585,132.7302795,122.4128896,112.0158271,121.7835611,135.9976155,146.8087305,144.3173178,146.3400932,133.611319,128.6024206,140.526032,138.9174529,125.7406545,109.3942271,104.0647441,113.668197,131.5972999,146.8601284,138.0093795,128.2755271,122.5590486,134.2198082,137.0199368,137.7582408,129.6277497,116.6397838,112.9122253,119.1432296,136.8580529,140.0545597,143.8625494,133.1822406,131.9335249,132.9653706,136.8694952,138.2278996,125.6415859,118.2626863,117.3867218,123.0877587,128.3506299,136.0708796,138.199866,130.7973831,135.2778815,137.4050366,135.8199129,136.9447572,130.4573858,123.6399001,129.4708626,125.678575,132.7066865,135.4867115,135.8075959,135.1132675,126.164734,134.4296934,134.2315744,134.3522687,127.1404129,123.1659921,116.4444543,120.458155,122.981893,136.3776136,135.0587478,133.2303741,130.316942,129.9660055,132.3788852,136.8714941,126.7401478,117.0480093,111.0131482,115.6278539,122.0684865,141.5302343,139.6772324,127.7049527,124.6033132,129.6227714,140.0340865,126.1940307,129.2754626,117.514987,104.6976699,114.2489052,123.9756528,142.2213003,133.8928132,128.0871103,126.4177093,130.5810728,111.182497,118.979072,121.9092845,119.4370792,115.0077202,117.089417,124.3273519,134.7780346,133.82877,130.1951185,113.4756607,117.1356709,125.1924724,119.6500723,122.7537337,117.5811153,109.5965697,111.8387412,122.9098158,129.086373,130.4599462,137.5215008,127.0591236,132.3970719,116.2498562,119.3760962,123.581636,112.6978851,98.64970739,106.5511138,120.6515137,127.5271717,138.0442784,124.8306476,119.5069896,115.9235063,124.2963213,118.8805951,126.751381,120.540998,105.8888771,119.8451589,122.5776363,129.5113447,135.3205982
Ngororero,NA,NA,NA,NA,140.5128836,131.4815422,113.4516674,107.7802836,101.7696333,103.3134213,126.5836044,138.2254503,129.5353526,134.3626863,134.4180403,142.7702545,145.2924551,137.1129362,121.2299205,115.4256164,115.8804217,121.8206498,140.0615357,136.5576922,140.0806396,138.0420668,133.1962218,138.3136985,142.9040409,131.8687666,118.6214519,108.5446561,105.4845533,107.9316906,120.8539684,140.1689271,133.8254057,137.9688851,135.4294112,144.2089407,149.7974295,137.9293181,118.8246167,108.676875,114.7650503,128.8119306,138.3847811,135.6458849,139.8573883,137.4813817,128.4730522,143.9699428,146.945373,130.0314387,110.4495373,102.4300506,108.7919774,126.9077044,136.3227893,133.0121454,126.0240621,136.0151423,142.2308633,143.7882375,146.0992609,133.5040461,118.3616434,110.6629989,114.6181142,126.7765297,131.0340693,134.5276261,124.8076771,125.2482424,123.4428982,137.9886269,139.8034861,131.4769841,119.4088137,114.8581122,112.9549701,116.5790503,127.8933039,135.7595478,126.8244482,134.3132016,138.3378975,137.7134105,142.4846384,137.4264844,125.9930942,122.1077733,115.2357465,124.7478129,129.3922187,128.26873,130.3417237,124.6144878,137.6720901,141.2030307,141.2480848,132.1283832,125.5782509,111.8683095,112.4359389,117.974939,128.7625382,129.0517076,131.2629472,134.5754505,133.4784855,141.3388295,140.896216,130.0799154,118.8006338,107.1431053,106.7489933,114.8323906,129.9365018,133.1302313,123.5001339,126.2501503,134.6786821,147.202715,134.0274102,135.2905914,118.4576356,102.388427,108.8076137,115.9419209,131.8575681,127.1383379,128.8450298,122.3248651,129.1374622,122.0066935,122.3556657,127.995886,118.6443534,113.6047034,113.2693306,118.3514025,131.9384293,136.7113348,129.6201119,111.9890636,113.6455955,130.9279763,128.6939464,131.9539465,117.027192,106.9353208,107.3059112,116.259567,128.4255173,128.7079182,134.7611936,129.5422015,128.2049945,121.5888494,129.5768155,125.9682532,112.0594195,101.305845,102.1181297,115.2590207,118.7926103,130.8098304,120.7797811,117.0580161,120.5682846,130.3896564,116.362718,126.7174812,117.7463197,103.8598691,115.8479422,115.1736751,126.5661388,129.015499
Rusizi,NA,NA,NA,NA,133.3400198,128.4287085,118.1124696,108.8259972,109.8576391,113.1109626,134.7949653,136.8525432,133.5407998,129.0782469,135.4422827,144.6642685,140.9307345,133.3090193,123.1595105,116.9073634,116.5161496,128.8084542,150.5137391,142.1451039,139.3421638,131.7708252,134.8900716,140.1715596,141.6891374,134.9449334,127.5960995,120.5318617,113.0516297,115.1942933,139.65008,145.5450417,142.0486242,149.5250339,148.5630133,147.7995422,141.9036094,135.8468821,124.073271,115.2136714,118.9927546,129.7344643,134.4768669,145.8415926,139.934486,141.4646453,140.0889527,145.3988256,142.8146822,132.3354582,119.3271592,114.0206522,116.8947928,120.3096206,133.7763653,137.1436964,139.8073773,132.8767298,150.2244102,139.4448678,137.513455,133.1747284,122.673951,115.6762398,114.022996,128.0959555,135.59029,145.0754149,141.0814576,138.1823165,142.1264085,145.1017268,143.5394557,135.3549392,128.8075066,120.7936365,118.1344889,117.220035,133.1661558,142.9885289,128.5270733,135.3313911,138.7746506,139.7217222,145.0044681,138.4043545,128.6521429,123.4217538,122.5519858,129.4226929,135.2440333,141.565359,138.5514294,136.1758608,137.5225894,144.3674952,144.425682,133.4171932,125.4636019,115.4362195,116.0786402,123.8698448,134.8116284,132.6145491,140.2443142,145.4891446,140.1729097,143.2804595,140.9376225,131.3086264,124.6736268,114.6231953,110.7003827,117.348175,132.9245145,140.017964,135.8610365,140.0851593,142.4229186,141.851018,130.1982618,136.0879562,120.8215005,111.3101862,112.8195697,113.7158988,128.9140286,139.5584894,124.0101702,127.7676415,137.2218802,139.0661665,132.5102117,128.8788747,122.4966984,112.6073264,113.8894653,116.4344274,134.8667301,140.2462107,133.2869023,124.2067082,123.5163945,119.725742,130.5418189,131.7345222,121.4504159,117.0267092,107.8569485,122.4714469,122.9494515,129.4216705,137.4011137,142.0271609,137.5348853,138.1654282,131.8170003,129.6499224,117.4324105,106.3445008,103.2659387,121.2460416,128.8595654,133.2687291,131.4857996,122.6208203,132.7867815,143.8688009,132.8399274,126.6562559,119.8616767,110.740252,116.4332146,111.6072454,120.3425751,140.0888891
Nyamasheke,NA,NA,NA,NA,132.4728571,127.7057659,115.9634776,108.8563951,106.6958331,110.427496,124.0244245,126.9423718,124.8678522,123.7120292,129.9140547,141.0793143,139.3951663,132.4191256,125.9494858,118.9448843,116.8035301,128.1509636,145.3473266,131.7555939,138.6443208,129.9926495,131.6258697,137.8433589,139.4093237,133.386265,126.6575277,119.6831099,114.2865848,114.8989257,137.1693816,133.6442738,132.5811373,145.0818188,143.9067839,137.2232099,137.8429102,136.409501,123.8790364,114.9580908,121.2441828,129.0873742,133.6936588,134.621941,137.9757916,136.9360823,134.4177338,136.9335285,139.3572615,131.6326354,118.1179868,114.1366483,116.7333434,118.9908777,125.0536681,130.1035728,133.1308753,126.166574,143.8937631,139.2885417,135.0758942,133.5489359,123.7974752,115.9233177,113.2428357,125.8989673,133.0477562,139.3376711,138.4715089,131.4480822,133.8392039,139.2697243,136.4108819,130.20216,123.0439565,120.6720182,117.9882994,118.5194289,130.9804733,133.9938453,125.4479343,129.6747708,133.7545193,134.5826661,138.3559428,134.1496547,128.86308,127.7176091,123.4095205,130.0997445,128.1455638,134.7084536,133.5796552,130.2018283,133.7037167,138.0040597,138.1242161,130.667184,125.3926082,117.9690332,114.7337596,124.8793993,124.8903051,123.1468614,130.6094046,136.0242712,134.3711959,138.2361337,136.9414062,128.8817651,121.5316595,113.2870854,109.8686948,116.8239311,119.1350422,130.998599,131.8612744,131.4131567,135.8556749,136.0112958,126.3499583,133.4854133,121.0007801,109.742357,113.2147594,118.6350548,124.6793282,130.0584062,120.4254367,122.3978025,136.3573593,133.5000517,126.9018918,124.3613772,118.8561594,114.0076366,116.3630157,114.2578373,123.5486623,129.924096,126.7704514,119.5748946,123.699551,116.4353793,125.3854687,131.1941126,122.5271292,117.4325738,108.3217734,115.7445732,117.0894732,120.9983428,127.6929874,134.3677018,130.4541848,126.8288404,127.7503999,129.4101863,117.2038746,106.4027201,103.4258604,119.2674269,118.1019243,123.3142364,118.728081,114.7354431,126.3896385,135.0881614,129.6620638,127.2046744,120.0130425,110.0796624,118.1459985,112.4446373,118.828767,129.8983061
Rulindo,NA,NA,NA,NA,139.283696,126.3326295,105.5288684,99.01306984,92.59056015,99.52753396,126.1987974,140.6516768,122.9590049,125.771314,128.1828498,143.3018124,147.5940581,139.1218068,118.3163881,117.2082015,116.655656,128.222709,151.1054308,143.4086014,133.6442443,127.4412268,131.6550187,142.8955712,147.5887342,138.2116225,114.6622982,106.3068918,108.1319137,112.1001875,130.2034037,138.184673,124.0746757,122.7938906,119.0012898,135.2525459,143.6287789,135.3647246,110.9901516,103.4598582,111.3380296,125.9945627,147.0239501,125.5586348,123.9030685,118.5647681,121.062171,137.5332377,142.7197847,125.8049518,105.2909508,97.05910614,100.5129888,122.4629235,130.1968153,124.0311985,117.0049731,117.455798,123.5665555,137.0763555,147.8290683,130.8697206,111.680491,104.7276803,110.0624909,125.7899923,132.7487825,122.4401541,112.2622817,112.416381,114.9121367,134.9399729,148.3648627,130.4255363,115.1003149,110.890883,106.9686282,109.9234759,125.6065655,133.8203662,121.3949562,126.0113906,128.4971435,132.9445883,146.6601067,139.1537407,126.5697623,120.8686394,117.4269979,120.9531919,137.7403491,130.6120464,124.2957505,117.2211136,126.0805912,140.8129677,140.7011677,133.8262326,123.1712223,109.6933734,107.8483412,115.5474399,127.0285153,128.0675054,120.9614126,125.9313965,127.3727934,138.2581108,149.8671302,138.6747908,116.3332835,109.8482212,105.6270083,117.5421156,143.0577397,136.9400476,127.4778871,122.3178534,136.7851904,147.6546067,137.2392964,136.9628119,115.6304897,103.3111094,106.444744,117.6985585,135.8828687,123.7980712,126.0044777,119.5240776,130.3535389,133.5677325,134.3117926,132.0499794,119.8058181,112.8601107,116.1238614,126.5718159,140.2906919,136.4594265,124.3759852,107.8497625,113.3626599,118.754835,134.5767478,132.6438358,115.6638981,105.5620307,109.0106959,118.4066503,124.7120657,128.692458,132.2876342,125.6426134,125.6864771,117.7647434,134.4906913,124.7746596,110.1043655,96.88954178,102.5236709,118.2830819,124.5941595,122.2897757,118.7077159,117.907587,116.95103,127.7995342,131.914595,125.0385273,108.4729772,101.7252753,116.7481377,117.5130464,131.9516196,137.3133138
Gakenke,NA,NA,NA,NA,118.1757115,107.8712433,93.15950988,86.49426961,82.75009223,87.70941049,104.2291428,119.3841348,112.0529472,111.1297266,113.6762495,118.2542356,124.2146714,118.2040871,102.4399075,98.81716869,96.86972004,102.5296366,125.8801911,125.6330809,120.6644533,115.0372825,113.5345286,116.1273718,122.9756508,115.7794217,99.67074365,91.19916278,91.41441775,96.77031056,104.4036418,115.9806486,112.6997551,115.9740112,108.9899234,112.8090109,119.705107,117.1577093,100.1365582,91.68672989,98.01718164,106.2830345,121.5489732,112.9786573,120.0988917,110.9521473,105.887905,116.1503501,120.7659057,111.1031599,93.17997698,86.95976002,88.69090096,104.2520648,113.5380432,113.2753959,110.6964665,112.5763106,111.5842031,119.6032323,124.3879036,113.5754766,99.2479302,93.09845624,95.18317019,102.0403003,112.854314,115.8528164,108.3320932,107.0484463,104.6563336,113.6833607,122.3794899,111.9682588,100.4440262,97.24308335,94.13539799,93.85494868,102.6873929,114.760426,110.3973167,110.2343315,112.6515662,114.5335087,123.8003801,119.1242686,109.507767,105.913849,100.0201352,105.9330543,116.3479172,114.0005981,118.5063735,107.0973238,114.0258892,116.405894,116.4340725,112.8314962,107.0800005,96.65748584,93.18221396,99.14577042,107.4584803,110.1780969,113.3937767,118.5991277,114.4756648,117.9961187,125.8618373,116.9781778,102.7383965,95.48522705,93.04976057,99.37456502,112.9418102,116.3649921,112.7886999,107.0424499,119.1512904,123.8335993,114.4198772,118.3831586,103.6416808,90.67086825,93.23066413,100.4148804,112.1017122,109.0770108,114.3888654,107.85687,113.6813649,103.2004307,111.4565661,112.3696435,103.1021017,95.24304805,97.48398893,105.2160142,116.0440386,116.5834096,110.1125517,97.66161014,98.68422282,103.9564001,112.6271956,115.5303293,102.1595335,93.53559957,96.0766765,100.2533873,108.609654,114.6670573,119.0224679,116.2444528,112.9823403,100.6916853,114.6051372,107.8638412,96.67161846,84.86889402,87.2181016,100.686384,106.6493515,110.2649955,109.4948537,102.9238582,101.3099319,113.4216638,115.2054484,109.9408977,97.74709042,92.05868214,103.5903035,98.70780576,115.5467363,119.5817616
Musanze,NA,NA,NA,NA,135.7148967,131.5937895,116.5139822,104.1740681,107.8023257,117.8727896,138.2018952,141.2989923,129.6393183,127.6559131,123.6463881,130.4866064,138.7780623,132.0711387,118.2833368,115.0800833,115.7747144,126.21592,151.5254744,148.3577115,140.5679699,129.3010809,126.3185465,130.2282441,139.1504655,134.8461909,118.0589037,111.6024586,115.631469,132.3918619,143.1506582,144.0690441,133.2348198,135.0161573,133.4926837,132.9027729,141.963361,136.8029638,119.6425708,110.4716114,121.0878523,137.6565813,150.1567856,146.6140053,143.8672344,135.712717,124.2923673,129.9772547,140.0208893,130.7975341,110.9277821,102.0641289,113.2899481,133.347411,147.8884368,136.3158914,130.8741306,127.647189,127.1238906,134.9983348,139.3742406,133.6155052,116.8194744,109.5278465,114.2983515,130.6890335,142.7996327,142.2343853,126.750008,126.3373215,126.6152951,130.5257471,139.6892694,128.216488,117.7545199,118.2969532,121.6729357,127.0604373,133.2405631,137.9156588,134.5523387,132.191192,126.9377963,125.5796809,139.4962203,132.5553352,126.4382434,126.3381821,123.6755364,130.0767465,139.4470791,140.2175155,136.6579405,126.4995003,129.8035721,130.0452906,130.1125877,129.985744,125.3302261,114.9942684,118.7643718,123.4145483,136.3407518,137.6034185,127.7150691,133.173253,128.3598393,128.2862801,137.3795192,128.8757088,118.1455716,110.7373517,112.7010415,123.2212113,136.2092432,135.2791271,128.5492005,120.9206026,128.2658571,135.6867354,125.2128739,132.4496479,118.2414853,101.3824798,106.3993193,120.1037763,140.3115083,135.8515295,128.0456999,125.0022692,126.2253338,106.935932,117.2717604,122.1128645,118.8546797,108.2479424,112.1400431,120.9392023,134.3987789,130.605476,123.6626786,103.9260951,109.8497319,113.4618991,121.6305778,125.9572538,115.7448887,102.6669595,107.5619617,118.4456769,126.9172431,129.1461081,128.5901351,123.5628043,120.8235313,111.0807789,119.9875377,124.9018748,112.0464326,94.72559302,100.130282,116.1409915,127.622244,132.5340453,124.1093087,125.0927205,108.7007741,111.3742408,117.5839573,127.6285815,118.5143729,99.90443778,117.8109488,121.214655,133.7574998,136.6382915
Burera,NA,NA,NA,NA,134.2768639,125.3656273,104.960831,94.97954303,92.24393109,105.5047922,129.341093,132.7335024,120.6698375,120.8482212,122.26429,132.3416883,140.4653478,134.1159368,112.4648081,111.2141482,114.0181616,121.9424447,140.8653215,144.3508969,132.264125,121.2367235,126.4918089,130.7069755,142.1842437,132.8317078,107.7390472,99.86787529,102.8940979,120.2577742,133.7506382,132.3628137,122.7571621,122.9096425,119.2071755,119.9350342,139.4968168,130.3433778,108.5221058,101.3544923,113.7608088,125.6166677,140.7751224,128.3591207,125.518202,119.8320296,114.4956706,131.8632397,137.4268331,122.4428344,101.8602476,94.26322587,101.7503631,123.4276378,132.0966736,123.5047374,118.2392631,116.4968354,124.4953951,133.5601017,141.0495084,127.5013806,108.7890562,101.6206594,109.8928516,125.9701856,133.7721651,127.9667161,111.7325284,114.2861836,117.3918486,128.5972675,143.654481,126.3214178,110.5203818,110.3720246,115.7182521,121.8962141,129.7789855,130.9857617,122.7395248,132.7887614,123.8124774,128.4534492,142.3261881,134.2721769,123.6926453,119.443388,117.0817521,128.1467901,140.1524115,131.2316662,127.3466333,117.6024254,125.2736461,132.8767084,132.8057612,128.4060987,120.5116471,107.2723562,109.8890487,119.3394993,129.49,128.7918734,118.1403349,123.7267306,126.1256496,130.0112424,144.7669873,132.559074,110.5552477,103.2869534,109.8694257,129.5464166,139.8090185,131.9315579,126.566762,117.2907511,133.2791529,140.8027798,131.5260905,134.2935791,111.3440641,98.42604732,106.5985237,118.0142604,139.3630565,126.8703282,127.9426227,115.7445906,121.5165411,115.8217523,124.6055377,125.9361537,112.6903399,106.7132082,109.0901221,121.5350849,131.0136005,131.091747,121.555236,102.2608957,108.622253,113.7312861,131.1218702,132.7750144,116.2809279,101.8863673,107.5433394,115.2107966,122.4300197,128.758502,126.7611831,125.0129761,125.645783,116.4863135,130.6497439,124.6419936,106.7334782,90.89451009,98.39149856,112.9296045,121.9877325,127.1019391,121.7282215,117.9763248,116.3784382,120.5589672,122.56916,121.6980605,108.0100238,98.72514412,114.697183,115.3335714,132.2963088,133.6731681
